dataset,model,overlap,run,old_auc,new_auc,old_ap,new_ap
NDC-classes,thgn,0,1,0.944294912,0.926590567,0.943252891,0.92142018
NDC-classes,thgn,0,2,0.977213777,0.971284689,0.974575997,0.964847541
NDC-classes,thgn,0,3,0.976577286,0.968368148,0.974310227,0.956728155
NDC-classes,thgn,0,4,0.974366899,0.965567085,0.96993857,0.945956543
NDC-classes,thgn,0,5,0.977461003,0.970402773,0.974217384,0.959877343
NDC-classes,thgn,0.25,1,0.974780474,0.963700565,0.972854555,0.955921381
NDC-classes,thgn,0.25,2,0.976299671,0.964255441,0.973855689,0.947849683
NDC-classes,thgn,0.25,3,0.977233108,0.96917144,0.97442137,0.957040161
NDC-classes,thgn,0.25,4,0.978551639,0.969169044,0.977004469,0.962322306
NDC-classes,thgn,0.25,5,0.975657236,0.963516003,0.97319633,0.9488788
NDC-classes,thgn,0.34,1,0.909043638,0.961368315,0.921450273,0.947312117
NDC-classes,thgn,0.34,2,0.975709753,0.969205627,0.972454856,0.963066998
NDC-classes,thgn,0.34,3,0.975867245,0.973010001,0.971454516,0.969614007
NDC-classes,thgn,0.34,4,0.973153491,0.966835794,0.968775465,0.956910982
NDC-classes,thgn,0.34,5,0.975479208,0.96979371,0.972246481,0.964211873
NDC-classes,thgn,0.5,1,0.937043682,0.93589815,0.931298796,0.920470666
NDC-classes,thgn,0.5,2,0.946010652,0.948306544,0.92579468,0.927737476
NDC-classes,thgn,0.5,3,0.957508883,0.95764619,0.944430228,0.943272232
NDC-classes,thgn,0.5,4,0.954800692,0.944908607,0.943533918,0.930477738
NDC-classes,thgn,0.5,5,0.914517574,0.944432754,0.903495102,0.924118051
NDC-classes,thgn,0.67,1,0.949407221,0.956455043,0.933768104,0.945608735
NDC-classes,thgn,0.67,2,0.919268898,0.931598775,0.903038991,0.91201148
NDC-classes,thgn,0.67,3,0.935784697,0.940745128,0.916258321,0.922161094
NDC-classes,thgn,0.67,4,0.94231237,0.938057546,0.92426462,0.917760631
NDC-classes,thgn,0.67,5,0.936679815,0.939235983,0.915126251,0.919327252
NDC-classes,thgn,0.75,1,0.854443539,0.892165362,0.857375315,0.874245279
NDC-classes,thgn,0.75,2,0.932214249,0.929473691,0.91434904,0.911030087
NDC-classes,thgn,0.75,3,0.929624543,0.931730462,0.910548156,0.913112612
NDC-classes,thgn,0.75,4,0.909759781,0.928065733,0.894431472,0.910706708
NDC-classes,thgn,0.75,5,0.943187546,0.938970024,0.929860111,0.92418466
NDC-classes,thgn,0.99,1,0.919133595,0.88297382,0.904859635,0.854999246
NDC-classes,thgn,0.99,2,0.941907002,0.893831654,0.929297893,0.875561485
NDC-classes,thgn,0.99,3,0.931938714,0.886715384,0.915137712,0.866248779
NDC-classes,thgn,0.99,4,0.93010661,0.90720159,0.913548397,0.887173142
NDC-classes,thgn,0.99,5,0.903947722,0.893303049,0.900018128,0.879643968
NDC-classes,tcen,0,1,0.995132172,0.993365188,0.99406561,0.99340962
NDC-classes,tcen,0,2,0.995140835,0.990743594,0.99450412,0.989616522
NDC-classes,tcen,0,3,0.99498916,0.990949385,0.994710785,0.990604253
NDC-classes,tcen,0,4,0.99150982,0.991535835,0.988792875,0.990783291
NDC-classes,tcen,0,5,0.995662816,0.992407919,0.995537383,0.992584608
NDC-classes,tcen,0.25,1,0.99548937,0.989617644,0.994468285,0.989021313
NDC-classes,tcen,0.25,2,0.995528758,0.992134655,0.995024786,0.991850974
NDC-classes,tcen,0.25,3,0.993391577,0.990046657,0.991915595,0.989306199
NDC-classes,tcen,0.25,4,0.995322446,0.993288157,0.995018951,0.992225557
NDC-classes,tcen,0.25,5,0.996429459,0.992761589,0.995792591,0.991481837
NDC-classes,tcen,0.34,1,0.993852159,0.991396392,0.993569167,0.992012182
NDC-classes,tcen,0.34,2,0.993957922,0.989931954,0.993506546,0.989380272
NDC-classes,tcen,0.34,3,0.993280236,0.987962314,0.993351517,0.989117591
NDC-classes,tcen,0.34,4,0.991829799,0.991905529,0.991327505,0.992096807
NDC-classes,tcen,0.34,5,0.991064299,0.988840302,0.990611075,0.989039183
NDC-classes,tcen,0.5,1,0.903925783,0.903758537,0.857298054,0.865763646
